,0
0,KIC1431122
1,KIC1432789
2,KIC3967760 3967760
3,KIC4458082 4458082
4,KIC4762283
5,KIC5364071 5364071
6,KIC5735762 5735762
7,KIC5784777
8,KIC5880320 5880320
9,KIC5941160 5941160
10,KIC6685609 6685609
11,KIC6768394 6768394 6768394
12,KIC6949607 6949607
13,KIC7289338 7289338
14,KIC7375348 7375348
15,KIC8150320 8150320 8150320 8150320 8150320
16,KIC8564674 8564674
17,KIC8653134
18,KIC8950568 8950568
19,KIC9071593 9071593
20,KIC9466668 9466668
21,KIC9634821 9634821
22,KIC9636135
23,KIC9655711 9655711
24,KIC9886361 9886361
25,KIC9946525
26,KIC10055126 10055126
27,KIC10982872 10982872
28,KIC11014932 11014932
29,KIC11086270
30,KIC11807274 11807274
31,KIC11853878 11853878
32,KIC12058204 12058204
33,KIC12066335 12066335
